scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
R2 U2 B' F' D B' L U2 D' R' F' U L' F2 D' L' B' R U' L2 B' U L B',x2,R2 B' D' F L,B F' U' B' F,B' U B,L' U L,R' D2 L D2 R,U' L2 D2 R' D2 L2,L' D2 B' R B D2 L,B2 D2 F D2 B2,R' U2 B' R B U2 R,R' U' F' U F R,B' U2 B F' D F2 U F2 D' L2 F,U,F2 U' L R' F2 L' R U' F2,73
F2 L2 R B L R' F2 B' L U B' D' L' F' U2 F D R2 F' L2 U2 B U' L',x2,D2 B D R' F,B U2 B',U B' U' B,U' F U F',F D2 B' D2 F',U F2 D2 B D2 F2,L' D2 B' R B D2 L,U' B2 D2 F D2 B2,B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',B L F L' B' L F' L',R D' F2 R2 U' L F2 L' U R2 F2 D R',F2 U' L R' F2 L' R U' F2,88
D' U2 F' B' D2 F D2 R' F' R' F' D2 B F2 L2 R' F' D R F B2 R' D,x2,B D' B2 F',B U2 B',L U2 L',F' U2 F2 U' F',R2 D B2 D' R2,R' B' R' B U R,R2 D2 L' D2 R2,B2 D2 F2 D2 B2,B' R2 U' R U R2 B,,F U2 F' U' F U' F',R2 U R2 U R2 U2 B L B' R2 B L' B',L2 U' B F' L2 B' F U' L2,72
U D2 L U2 L R' D F2 D' R F' D2 F' R U2 R' U2 R L D' R,x2,L' D2 L' D' L,,F U B' U' B F',L' B' U2 B U' L,R U R',B2 U2 B' U2 B2,F2 D' U L2 D,L2 B2 D2 R' D2 B2 L2,,R U B U' B' R',R U2 R2 U' R2 U' R2 U2 R,U2,B2 U L' R B2 L R' U B2,62
U2 L U' L2 B2 U2 B2 L' B2 F U D R F L2 B L R D L' F U L R2 D2,x2,B D F' D L D,F R' U2 R F',B' U' F U2 B F',L' B' U2 B L,R U R',L2 D' L U L' B' D L2,B' U2 R' U' R U2 B,B2 D2 F2 D2 B2,R' U2 B' R' B U2 R,R' U' F' U F R,R U R' U R U2 R',R2 B2 R F R' B2 R F' R,,74
U2 R U R F2 D L' B2 R2 L2 B L' R U2 D R D2 L2 B' D2 U R',x2,B U L' R' B D' L2,B L' U2 L B',B' R' U2 R B,F2 L F2 L',R B' R B R2,L2 D2 R D2 L2,U L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,,F R F' L F R' F' L',U R B' R F2 R' B R F2 R2,L2 U B F' L2 B' F U L2,78
D2 R' B' L2 U' D2 B2 D L' B D B F U' B' U2 B F2 U2 B2 D F',x2,L2 D' L2 B R F,B F' U' B' F,F U B' U' B F',F U' F',R U2 B' R B R2,U L2 D2 R' D2 L2,B2 D' R B U' B' D B2,B2 D2 F D2 B2,,,R B R' F R B' R' F',U L2 F2 L B L' F2 L B' L,F2 U L R' F2 L' R U F2,72
B2 L B L' B' L2 D' B2 F' U2 D' F' U F2 D2 R2 B' U2 D B2 R2 U' L U B2,x2,D2 F2 L F' R',R' U2 R,U B' U' B,L' B' U2 B U' L,R' D2 L D2 R,L2 D' B L U' L' U B2 D,B2 R B2 R2 B' U' R B R,B2 D2 F' D2 B2,R' U2 B' R B U2 R,L' U' B' U B L,,R2 U R2 U R2 U2 B L B' R2 B L' B',L2 U' B F' L2 B' F U' L2,81
B2 R L2 U2 B' F2 U2 R B' D U B U2 R' F L R B2 U F2 L2 R2 D' R',x2,U' L' B F' D',B U B',B' U2 B,L' U' L,F' U' F,B2 U2 B' U2 B2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,R' U2 B' R B U2 R,F' U2 F R B2 L' B' L U2 B' R',F R B R' F' R B' R',B2 R2 B' L' B R2 B' L B',R2 U' B' F R2 B F' U' R2,81
U2 B U2 B2 L B' U' D' F' D2 U' B F U2 R B' U' B F2 U,x2,R' F2 U L B2,U R' U2 R,B' U2 B,U F2 L F2 L',F' U' F,B2 U2 B' U2 B2,U L2 U2 L' U2 L2,B2 D2 F D2 B2,B U B2 D' R2 D B,F' U2 F R B2 L' B' L U2 B' R',F' U2 F2 U F2 U F2 U2 F',L' B L' F2 L B' L' F2 L2 U,R2 U B' F R2 B F' U R2,82
F B2 R' U2 L2 D' B R2 U2 B2 F' R2 D2 R F' B U2 R2 F L R D2 F,x2,L' B D L' R' D,U R' U2 R,L U2 L',L' U L,R2 B' R' B U2 R',R2 D' U F2 D,F2 D' U L2 D,,R U' R U2 F R2 F' U2 R2,L' U' B' U B L,R B L' B' R' B L B',U',L2 U B F' L2 B' F U L2,65
R B' F' R2 U2 R2 D2 R2 B' F' D F B R2 U2 F R2 F2 R D' U B' R' L D',x2,L2 F R' D' L' B',U R' U2 R,U2 B' U B,R' F R2 U R' F',F' U2 F,L2 D' B L U' L' U B2 D,B' U2 R' U' R U2 B,B2 D2 F2 D2 B2,R' U2 B' R B U2 R,R' U' F' U F R,B U B' U B U F' U B' U' F,U2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,81
L' F2 R2 F2 L2 F2 R F' R' U B U B2 R2 U2 R D F B2 R2 D U R2 D2 F,x2,F L R2 D' L R,U R' U2 R,B' U2 B,F U2 F',U F' U2 F,L2 D' L U L' B' D L2,B' U2 R' U' R U2 B,,R' U2 B' R B U2 R,F' U2 F R B2 L' B' L U2 B' R',R B L' B' R' B L B',R2 U R2 U R2 U2 B L B' R2 B L' B',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
B' L' U' D L2 U2 F2 B L' D L2 R2 U R' B2 F' U2 F2 L D U' R' B2,x2,U' L' B' R F',L R' U L' R,B' U B,R' F R2 U R' F',F D2 B' D2 F',U F2 D2 B D2 F2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,R' U2 B' R B U2 R,R B U B' U' R',B2 D F' L2 F D' B' U2 B',L F' L B2 L' F L B2 L2,F2 U L R' F2 L' R U F2,85
L' D' U' F2 L' R B L2 B U2 B2 D' U2 B2 R' U B U' D2 B2,x2,B F L' D',U R' U2 R,L' U2 L2 U' L',F2 L F2 L',R2 B' R' B U2 R',L2 D' L U L' B' D L2,U' L2 U2 L' U2 L2,B2 D2 F' D2 B2,L F2 U F' U' F2 L',L' U' B' U B L,F' U2 F2 U F2 U F2 U2 F',R D' F2 R2 U' L F2 L' U R2 F2 D R',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,89
F R F' D' B' R' D' L R2 D2 L U D B' F L' B D L' B,x2,B2 L' U B D2 L2,R' B' R2 B R,L F' U2 F L',F U' F',F D2 B' D2 F',L2 D' B L U' L' U B2 D,,B2 D2 F D2 B2,L F2 U F' U' F2 L',R' U' F' U F R,B' U2 B U B' U B,R B' R F2 R' B R F2 R2,L2 F2 D2 R2 B F D2 L2 B F,77
F' D2 B2 L' D L D' U2 F' U2 L2 U D L F' R2 U2 D2 L' B' L' F2 U2 B' L2,x2,U2 B L2 R D,U' R2 B' R2 B,U B' U' B,F U' F',R2 B' R' B U2 R',B2 U2 B' U2 B2,L' D2 B' R B D2 L,,B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',F R F' L F R' F' L',R2 B2 R F R' B2 R F' R,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,82
B U2 F D' L2 R U' D2 F2 U' D' B D' R L U' R F2 D F2 L2 F R2 B',x2,L2 F2 L R B D R,B' R' U R2 B R',R' B2 R B2 R,L' B' U2 B L,R U2 B' R B R2,R' B' R' B U R,R2 D U B D' U' R2,B D F L F2 D' B' U' L',,R' U' F' U F R,L U2 L2 U' L2 U' L2 U2 L,R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,84
L' U F L2 B2 F L D2 R F2 B' L2 F' B D2 F U F D2 L2 B' F' D' B2 R2,x2,D2 L' F' U' R2 B L,R' U' R,R' B2 R B2 R,F U F',U F' U' F,U F2 D2 B D2 F2,R2 D U B D' U' R2,B D F L F2 D' B' U' L',B' R2 U' R U R2 B,F' U2 F R B2 L' B' L U2 B' R',F U2 F' U' F U' F',L B L' F' D L D' B' L' F L2 U' L2,R2 U B' F R2 B F' U R2,91
L U' R U' B U B2 U' R2 D R2 D U F R2 B2 F U' L2 B2 U' L',x2,D R D2 B' R',U' R2 B' R2 B,L U' L',F' U2 F2 U' F',,U' F2 D2 B D2 F2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,R' U2 B' R B U2 R,R' U' F' U F R,B U' F' U B' U' F,R B' R F2 R' B R F2 R2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,80
R' L' F2 B' U R2 B2 D' U L2 D2 L2 U2 D R2 B' D2 U' R2 L2 D' B U2 R' L',x2,U' R' F U L' D L',U R' U2 R,U B' U' B,L' B' U2 B L,F' U F,F2 D2 U2 B2 D2,,U' B2 D2 F D2 B2,R' U2 B' R' B U2 R,L' U' B' U B L,L F' L' B L F L' B',U,,56
F D' L2 R2 D' U2 R' B' D B L B2 R L2 B2 L2 B2 D2 L' D2 U2 R2 U2 L' U2,x2,R B' D' B D R2,F R' U2 R F',L' U2 L2 U' L',F U2 F',R' D2 L D2 R,F2 D2 U2 B2 D2,B' U2 R' U' R U2 B,B2 D2 F' D2 B2,R' U2 B' R' B U2 R,F' U2 F R B2 L' B' L U2 B' R',L F' L' B L F L' B',B2 U B2 L' B R D B' D' L B R' B',L2 F2 D2 R2 B F D2 L2 B F,90
D R' L' B2 F' D' F' L D2 B F2 L B D2 L2 D B R' L U2 L2 U,x2,D L D2 B F,B F' U' B' F,B' F U B F',U F2 L F2 L',R B' R B R2,U' L2 D2 R' D2 L2,B' U2 R' U' R U2 B,L B2 D F2 D' B2 L',R U' R U2 F R2 F' U2 R2,R' U' F' U F R,F' U B U' F U B',U R B' R F2 R' B R F2 R2,F2 U L R' F2 L' R U F2,86
D B2 R B2 U2 D' F' R2 L2 D' B2 R2 F' L' B R' B L' F U' D2,x2,L2 D' B' L D2 B L2,R' U2 R,F U B' U' B F',L' R U L R',R U' R',L2 D' U B2 D,B2 R B2 R2 B' U' R B R,L2 B2 D2 R' D2 B2 L2,B U B2 D' R2 D B,R U B U' B' R',B U B' U B U F' U B' U' F,U' L2 F2 L B L' F2 L B' L,,79
B2 F2 L F D2 F2 D' R L' B2 L' B D F L' R' B' L' B R2 F' L B,x2,D B' F L' D L2,B F' U' B' F,U B' U' B,R' F R2 U R' F',R2 B' R' B U2 R',U' F2 D2 B D2 F2,L2 D U' F2 D',F L F L' U' F',B L2 D F' D' L2 B',L U F U' F' L',L2 B2 L' F2 L B2 L' F2 L',R D' F2 R2 U' L F2 L' U R2 F2 D R',F2 U' L R' F2 L' R U' F2,88
U' B2 D2 B2 R U' F' L2 U D' B F' L R2 D R2 D L R B',x2,D B2 D R' B D,R' U2 R,B' F U B F',L' U B' U2 B L,R2 B' R' B U2 R',B' U' L' B L B,B' U2 R' U' R U2 B,,,R' U' F' U F R,B U B' U B U F' U B' U' F,U L2 F2 L B L' F2 L B' L,F2 U' L R' F2 L' R U' F2,75
D2 U2 L' R2 B U2 R D U2 R2 F' D' U B D R U2 B' U2 R' U' F R,x2,L' D' F' L' D' R2,B' U' B2 U2 B',L' U2 L2 U' L',,F' U F,,,F L F L' U' F',B L2 D F' D' L2 B',L U F U' F' L',R B R' F R B' R' F',B' R B' L2 B R' B' L2 B2,F2 U L R' F2 L' R U F2,64
B2 R' D2 B U D' B2 U D2 R2 L F L2 B2 R2 U' B2 U2 B' D2 B U' D2,x2,U2 L2 B' D R,R' U B' R2 B R,L U2 L',L' U B' U2 B L,R' D2 L D2 R,B2 U2 B U2 B2,R2 D U B D' U' R2,B D F L F2 D' B' U' L',B U B2 D' R2 D B,R U B U' B' R',F2 R2 F L2 F' R2 F L2 F,B2 R2 B' L' B R2 B' L B',B2 U' L' R B2 L R' U' B2,86
L U2 L2 F' U2 F R2 U2 F U F U D' L' U L2 D' L' U' B' L' D U,x2,D2 L B F2 L' R' D,,U2 B' U B,L' U' L,R U' R',L2 D2 R' D2 L2,,L B2 D F2 D' B2 L',,,,L F' L B2 L' F L B2 L2,R2 U' B' F R2 B F' U' R2,47
L D U' B2 U F' D U2 B' U2 F R L2 U R' U' L' U' L B R2 D',x2,D' R' F D' L B2,R U R2 U2 R,F U B' U' B F',,F' U' F,L2 D2 R D2 L2,L2 D U' F2 D',B2 D2 F2 D2 B2,L' B2 D' R D B2 L,R' U' F' U F R,B U2 B2 U' B2 U' B2 U2 B,L' B L' F2 L B' L' F2 L2 U,F2 U' L R' F2 L' R U' F2,76
D' U R' F' L U2 D' R' D F' B2 D F' L2 D' U' R L' U F' D2 F' D2 F' D,x2,U L' B2 D' F' L',U' R2 B' R2 B,L U2 L',U F2 L F2 L',F' U' F,U' L2 D2 R' D2 L2,,B D F L F2 D' B' U' L',B L2 D F' D' L2 B',L' U' B' U B L,L2 B2 L' F2 L B2 L' F2 L',B2 U B2 L' B R D B' D' L B R' B',B2 U L' R B2 L R' U B2,81
B' L U2 R B' L' D R D' B' D2 R2 L' U R F' B' R' U' B' D',x2,F' L R' B L D,F R' U2 R F',B' R' U2 R B,F U2 F',R' D2 L D2 R,L2 D' B L U' L' U B2 D,B2 R B2 R2 B' U' R B R,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,F' U2 F R B2 L' B' L U2 B' R',L2 B2 L' F2 L B2 L' F2 L',L' B L' F2 L B' L' F2 L2 U,L2 U' B F' L2 B' F U' L2,95
F D' F2 L2 F' L2 F' D R D' L2 B2 F L2 F' R2 D' B2 D R' U B2 L2,x2,D' U R' F D L2,B U' B',L F' U2 F L',L' U B' U2 B L,,U' F2 D2 B D2 F2,F2 D' U L2 D,L' U2 B' U' B U2 L,R' U2 B' R B U2 R,R' U' F' U F R,B U2 B2 U' B2 U' B2 U2 B,U B2 L2 B R B' L2 B R' B,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,82
U2 L' U' L2 D U2 R2 F D2 B R' B2 R' L' B' D B2 F2 R L2 D' R' U' L' B',x2,D2 B L D' F2,R' U R,B' U' F U2 B F',U' F U F',U F' U' F,B2 U2 B' U2 B2,L' D2 B' R B D2 L,L B2 D F2 D' B2 L',L' B2 D' R D B2 L,L U F U' F' L',R U2 R2 U' R2 U' R2 U2 R,F R' F L2 F' R F L2 F2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,84
U' D2 R2 F2 U B2 L' D2 B' U L D' F R2 L' B2 R' D L' F' D2 U2,x2,D' U' B' L' R,R' U R,L' U2 L2 U' L',U F2 L F2 L',R B' R B R2,B2 U2 B U2 B2,R2 D2 L D2 R2,B2 D2 F2 D2 B2,L' B2 D' R D B2 L,R U B U' B' R',B' U' B U' B' U2 B,B' R B' L2 B R' B' L2 B2,L2 U' B F' L2 B' F U' L2,76
R L' D2 R2 U R B R' U' D2 L D2 B' L' F2 R' B2 D2 L2 B',x2,L2 R2 D2 B R F,R' U' R,L' U2 L2 U' L',L' B' U2 B L,R B' R B R2,U' F2 D2 B D2 F2,R2 D2 L' D2 R2,B2 D2 F2 D2 B2,B U B2 D' R2 D B,B' R' U' R U B,L F' L' B L F L' B',U L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,83
D B' D R B2 R B' F R B F D' R2 U2 L' R B' U L' U F' D' L',x2,D U' B R D' L',R2 B' R2 B,R' B2 R B2 R,F U2 F',R2 B' R' B U2 R',B2 U2 B U2 B2,R2 D2 L D2 R2,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,L U F U' F' L',B2 D F' L2 F D' B' U2 B',L F' L B2 L' F L B2 L2,L2 U B F' L2 B' F U L2,83
F L2 D' F2 B2 R' L U' L' U L2 B' F' R D L' U' R L B L2 B2 R2 B2 F2,x2,U B2 L2 R B D,B U B',B' F U2 F' U B,L' U2 L,R2 D B2 D' R2,R2 D' U F2 D,F2 D' U L2 D,L2 B2 D2 R' D2 B2 L2,R' U2 B' R B U2 R,L U F U' F' L',F' U2 F2 U F2 U F2 U2 F',B2 R2 B' L' B R2 B' L B',L2 U B F' L2 B' F U L2,80
U' R' L2 B F2 L2 R' F2 B U' B2 F R2 F U R' F' R' U' F2 U2 F U2 D',x2,B' L2 F' D F,B' U' B2 U2 B',B' R U2 R' B,L' R U L R',,,B' U2 R' U' R U2 B,L B2 D F2 D' B2 L',,B' R' U' R U B,L2 B2 L' F2 L B2 L' F2 L',R B' R F2 R' B R F2 R2,L2 U B F' L2 B' F U L2,67
R B R2 U2 D R2 B' U' L2 B2 F L' D2 B F2 D' B2 U' B' L2 U2,x2,R B L' D' L' R2,R' U' R,L U' L',U F2 L F2 L',U F' U2 F,F2 D2 U2 B2 D2,L' D2 B' R B D2 L,L' U2 B' U' B U2 L,B' R2 U' R U R2 B,L U F U' F' L',B L F' L' B' L F L',U' L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,83
R U2 D' R2 F2 D2 R' F2 B U L' B2 F R L U' F U' F' D2 B2 R D2 L,x2,B' R F' D L' D R',R' U R,L U L',F U F',F' U2 F,L2 D' U B2 D,F2 D' U L2 D,L' U2 B' U2 B U2 L,L' B2 D' R D B2 L,R U B U' B' R',F R F' L F R' F' L',R2 F2 R' B' R F2 R' B R',B2 U L' R B2 L R' U B2,75
L2 D F2 D2 R D2 L R F U' F U R2 B2 L D2 U' R2 U' D R F' U' L2,x2,B D L' B' D2 L' D,B U' B',L U' L',F2 L F2 L',F' U' F,B2 U2 B' U2 B2,L B L B' U' L',L' U2 B' U2 B U2 L,R U' R U2 F R2 F' U2 R2,R B U B' U' R',F U2 F' U' F U' F',B2 R2 B' L' B R2 B' L B',L2 U B F' L2 B' F U L2,78
F B L2 F R' L D2 B2 F' D U' R2 D2 B D' R2 L2 D R' D2 U' R2 D F2 L',x2,L' D B D2 R,R' B' R2 B R,L U' L',L' B' U2 B U' L,U F' U' F,L2 D2 R' D2 L2,B' U2 R' U' R U2 B,L' U2 B' U2 B U2 L,B' R2 U' R U R2 B,L' U' B' U B L,F' U B U' F U B',U' R B' R F2 R' B R F2 R2,L2 U' B F' L2 B' F U' L2,81
L' U F B2 D2 L' D' U' R' B' U' R U2 B2 F D2 L F D' L,x2,D2 L R F R B,,B' U' B,U2 F2 L F2 L',R U' R',L2 D' B L U' L' U B2 D,R2 D2 L D2 R2,U' B2 D2 F D2 B2,B U B2 D' R2 D B,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',U L2 F2 L B L' F2 L B' L,L2 U' B F' L2 B' F U' L2,78
F2 U2 L' R B' U B' L2 R2 B L U2 B2 R F B' D' R' L' F' L R2 B' L',x2,B' L F' D' R B F',F R' F2 U' F R,B' U' B,R' F R2 U R' F',,B' U' L' B L B,F2 D' U L2 D,,B' R2 U' R U R2 B,,B' U2 B U B' U B,L' B L' F2 L B' L' F2 L2 U,F2 U L R' F2 L' R U F2,66
R' F2 B' U2 L D' U' L2 R F' L U' F2 B' L' B' R' U' D' F2 D2 R2 D' L2,x2,R2 F L' D' B F' D,R2 F2 R2 F2,B' R U' R' B,L' U B' U2 B L,U F' U' F,U' L2 D2 R' D2 L2,L' D2 B' R B D2 L,F L F L' U' F',,L' U' B' U B L,R U2 R2 U' R2 U' R2 U2 R,U' L2 F2 L B L' F2 L B' L,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,82
L' D L2 B R2 U R2 L' B L' F' U D B2 D2 B2 U R' D R2 U R' F L2 D,x2,D U F' L' B,B U' B',L2 F2 L2 F2,U2 F U' F',F' U' F,R2 D' U F2 D,R2 D2 L' D2 R2,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R B U B' U' R',R B' R' F R B R' F',R2 F2 R' B' R F2 R' B R',B2 U L' R B2 L R' U B2,77
L' U' D' L2 R2 F2 B D' U B L F' R2 D U' R U' B R' L' U2 L B',x2,L D' L B F2 D2,B2 R B2 R',,F U' F',F' U F,U' F2 D2 B D2 F2,,F L F L' U' F',R' U2 B' R2 B U2 R,L' U' B' U B L,B U2 B2 U' B2 U' B2 U2 B,L F' L B2 L' F L B2 L2,B2 U' L' R B2 L R' U' B2,68
F' B L R' F' L' D F' L F' D' F' R' B R' F B' D' F' R' L2 D' B D2 R,x2,R' B' R' D' B,,L U L',L' R U L R',,U' F2 D2 B D2 F2,B' U2 R' U' R U2 B,F L F L' U' F',L F2 U F' U' F2 L',L' U' B' U B L,B U B' U B U F' U B' U' F,U' R B' R F2 R' B R F2 R2,R2 U' B' F R2 B F' U' R2,75
R D2 B' D' L2 R' B R D' U2 L2 B2 D' F2 L F2 D' L2 R' D' L2 B2 F' U' R',x2,D F' R' B F' D',B U' B',B' U' B,U2 F2 L F2 L',R U R',L2 D' U B2 D,R2 D U B D' U' R2,B2 D2 F' D2 B2,R' U2 B' R2 B U2 R,R B U B' U' R',R B R' F R B' R' F',B2 U B2 L' B R D B' D' L B R' B',R2 U B' F R2 B F' U R2,80
D' B F2 U D' B2 L' U D B' R2 D2 U' B L U' B2 F L' D F' U' L2,x2,B' R U L' D L',B L' U2 L B',L' U2 L2 U' L',L' B' U2 B U' L,R2 B' R' B U2 R',B' U' L' B L B,L2 D U' F2 D',B2 D2 F2 D2 B2,R' U2 B' R B U2 R,L U F U' F' L',B' U' B U' B' U2 B,U L2 F2 L B L' F2 L B' L,,74
B D2 R2 F' B' D' R L' B' F2 R2 B F D F' U2 B2 R' B F' U F,x2,D' F L B' D B,R' U' R,L' U2 L2 U' L',,F' U F,B' U' L' B L B,F2 D' U L2 D,U' B2 D2 F D2 B2,R' U2 B' R' B U2 R,F' U2 F R B2 L' B' L U2 B' R',B L F L' B' L F' L',U L2 F2 L B L' F2 L B' L,F2 U L R' F2 L' R U F2,79
B U2 F2 L R F' R2 U R2 F R' U' L B D2 U' L B2 L' U2 F' L2 D2 F2 L2,x2,U2 B2 D B R D,B2 R B2 R',B' F U B F',F2 L F2 L',R U2 B' R B R2,U' F2 D2 B D2 F2,B2 R B2 R2 B' U' R B R,L B2 D F2 D' B2 L',,R B U B' U' R',B U2 B2 U' B2 U' B2 U2 B,U L2 F2 L B L' F2 L B' L,F2 U L R' F2 L' R U F2,81
D2 L2 F2 L D F2 L B' D' R2 D R' U2 B' U' L B R F' U2 B' D B',x2,F' D' F2 D' F R',B U B',L U L',L' R U L R',R U R',R' B' R' B U R,F2 D' U L2 D,L2 B2 D2 R' D2 B2 L2,R' U2 B' R2 B U2 R,L' U' B' U B L,F U2 F' U' F U' F',U' R B' R F2 R' B R F2 R2,F2 U' L R' F2 L' R U' F2,77
U2 B D R2 B' U' B' F L F' U' R2 B' D L U D' B2 F' U D',x2,R B D2 B D' F',,L U' L',L' R U L R',R B' R B R2,L2 D' B L U' L' U B2 D,B2 D' R B U' B' D B2,,R U' R U2 F R2 F' U2 R2,L' U' B' U B L,F R B R' F' R B' R',R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U L R' F2 L' R U F2,81
B U' L2 B' U2 B R' F D' L B L' R D' L B2 U D' F2 B' R' D R' L U,x2,R' F2 R2 D F' L' D,R' U2 R,,F2 L F2 L',U F' U2 F,U' L2 D2 R' D2 L2,F2 D' U L2 D,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R' U' F' U F R,B' U2 B U B' U B,U R B' R F2 R' B R F2 R2,L2 U B F' L2 B' F U L2,77
L F' L' D' L2 R2 D U B' U R' U B2 F' L B2 D2 B' F2 L' D2 U B2 D,x2,L2 R B D' L' R',B F' U' B' F,B' U2 B,U2 F U' F',U F' U2 F,L2 D' B L U' L' U B2 D,B' U2 R' U2 R U2 B,B D F L F2 D' B' U' L',R U' R U2 F R2 F' U2 R2,L' U' B' U B L,R B R' F R B' R' F',R B' R F2 R' B R F2 R2,R2 U' B' F R2 B F' U' R2,88
R' D2 L' F2 L' F L2 F R2 F2 D' L' R' D' U B D B2 L U B2 R',x2,F2 R' D B' D R2,R2 B' R2 B,U B' U' B,L' U2 L,R U' R',L2 D2 R D2 L2,B' U2 R' U' R U2 B,,B L2 D F' D' L2 B',R U B U' B' R',R' U' R U' R' U2 R,B2 U B2 L' B R D B' D' L B R' B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,77
F' U2 D' L' F2 R' D R2 L F' B2 R2 B L2 U R' U F' L' U' B L' R B',x2,R2 D' R D' B',R' B' R2 B R,L' U2 L2 U' L',R' F R2 U R' F',R U2 B' R B R2,L2 D' B L U' L' U B2 D,U' L2 U2 L' U2 L2,L2 B2 D2 R' D2 B2 L2,L' B2 D' R D B2 L,,L U2 L2 U' L2 U' L2 U2 L,U' R B' R F2 R' B R F2 R2,R2 U B' F R2 B F' U R2,84
F2 B R' U2 B' L' B' L' R' U2 R2 F' R' U' D L D' U2 F D2 B2 L2,x2,B' F' L D R' B,R' U2 R,L U2 L',F U' F',R U R',L2 D' U B2 D,U L2 U2 L' U2 L2,L B2 D F2 D' B2 L',L F2 U F' U' F2 L',R' U' F' U F R,F R B R' F' R B' R',B2 R2 B' L' B R2 B' L B',R2 U B' F R2 B F' U R2,75
L B2 R B' L' D U L U D' L2 R U' D L2 F L' F2 R2 B D2 F,x2,B U' R D' L' B' R,B U' B',F U B' U' B F',L' B' U2 B U' L,U F' U' F,U L2 D2 R' D2 L2,U L2 U2 L' U2 L2,F L F L' U' F',R' U2 B' R2 B U2 R,B' R' U' R U B,B U2 B2 U' B2 U' B2 U2 B,L' B L' F2 L B' L' F2 L2 U,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,88
F B2 D' F' L' B F R' D L B2 U' F2 B D' L F B' L' B' L2 F B2 D' B',x2,B' D F R D' R2,R U R2 U2 R,B' R U2 R' B,U F2 L F2 L',F D2 B' D2 F',U L2 D2 R' D2 L2,R2 D2 L D2 R2,U B2 D2 F D2 B2,B U B2 D' R2 D B,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',R2 U R2 U R2 U2 B L B' R2 B L' B',R2 U' B' F R2 B F' U' R2,87
B' L' F L F2 R2 D2 L2 B2 U L' R U F' U F L F' D B2,x2,D2 L' B R B D,B L' U2 L B',L' U2 L2 U' L',U2 F U' F',F' U2 F,U' L2 D2 R' D2 L2,F2 D' U L2 D,,R' U2 B' R' B U2 R,,B L F L' B' L F' L',U' L2 F2 L B L' F2 L B' L,R2 U' B' F R2 B F' U' R2,68
F' L' U2 F2 B' L2 D L2 D B' U2 B' D' R D' B' R F' L' D' R' B D2 R',x2,R' F R' D' B2 R,R' U2 R,B' R U' R' B,U2 F2 L F2 L',R' D2 L D2 R,B2 U2 B U2 B2,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,B' R' U' R U B,L U2 L2 U' L2 U' L2 U2 L,U,B2 U L' R B2 L R' U B2,75
D2 L2 D2 U F' U2 D B2 F' R2 B2 F' L2 U D' B F R2 L' U' B,x2,B' D' F' L' B' D',B' R' U R2 B R',B' R' U2 R B,,F' U2 F,U F2 D2 B D2 F2,R2 D U B D' U' R2,B D F L F2 D' B' U' L',R' U2 B' R B U2 R,R' U' F' U F R,B' U2 B F' D F2 U F2 D' L2 F,L F' L B2 L' F L B2 L2,L2 U B F' L2 B' F U L2,84
F L' F2 B' U B' U L2 R' F U2 B' F2 L D2 R' D2 R' F L B',x2,B F D2,,L F' U2 F L',F U2 F',R B' R B R2,R2 D' U F2 D,U L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,R' U2 B' R' B U2 R,B' R' U' R U B,B2 D F' L2 F D' B' U2 B',U L2 F2 L B L' F2 L B' L,F2 U L R' F2 L' R U F2,75
